Numero_da_Ocorrencia,Numero_da_Ficha,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Hora_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,ICAO,Latitude,Longitude,Tipo_de_Aerodromo,Historico,Matricula,Categoria_da_Aeronave,Operador,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Aerodromo_de_Destino,Aerodromo_de_Origem,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,CLS,Tipo_ICAO,PMD,Numero_de_Assentos,Nome_do_Fabricante,PSSO
25323,202045819,IGREJA DO EVANGELHO QUADRANGULAR CED,Acidente,2020-09-14,20:00,ANAPU,PA,Norte,EXCURSÃO DE PISTA,Aeródromo não cadastrado,"-3,49234","-51,177",,A aeronave decolou do Aeródromo Brigadeiro Protásio de oliveira (SBJC) Belém PA com destino ao Aeródromo de Altamira (SBHT) PA por volta das 17h40min (UTC) afim de realizar transporte de passageiros com um piloto e três passageiros a bordo. Durante o voo o piloto relatou haver tido a necessidade de pousar na área de pouso não registrada localizada no município de Anapu PA. Durante o pouso em Anapu ocorreu a saída da aeronave pela cabeceira oposta. A aeronave teve danos substanciais. O tripulante e os três passageiros saíram ilesos.,PTRVU,TPP,IGREJA DO EVANGELHO QUADRANGULAR CED,RE,Corrida após pouso,Voo Privado,Substancial,SBHT,SBJC,,,,,,,,,,2.0,2.0,,,,EMB-720D,L1P,PA32,1633.0,7.0,NEIVA,verdadeiro
26943,202100815,SUSY VALERIA SERAFIM DE SOUZA,Acidente,2021-02-02,12:15,SÃO FÉLIX DO XINGU,PA,Norte,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Fora de Aeródromo,"-6,75679","-53,9147",-,A aeronave decolou de uma área não registrada localizada no município de São Felix do Xingu PA com destino ao Aeródromo de São Félix do Xingu (SNFX)PA por volta das 12h15min (UTC) a fim de realizar um voo de translado com um piloto a bordo. A aeronave foi encontrada acidentada na região do Rio Iriri. A aeronave teve danos substanciais. O piloto sofreu lesões fatais.,PTBXV,TPP,SUSY VALERIA SERAFIM DE SOUZA,CTOL,Indeterminada,Voo Privado,Substancial,SNFX,,1.0,,,,,,,,,,,,,,182E,L1P,C182,1270.0,4.0,CESSNA AIRCRAFT,verdadeiro
26944,202182786,AERO AGRICOLA SAO MIGUEL LTDA - ME,Acidente,2021-02-01,09:20,VIAMÃO,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-30,2492","-50,765",-,A aeronave decolou da Área de Pouso para Uso Aeroagrícola Claudemir município de Viamão RS por volta das 09h20min (UTC) a fim de realizar voo local de pulverização com um tripulante a bordo. Após a decolagem a aeronave perdeu potência e colidiu o trem de pouso contra uma cerca. Na sequência colidiu a asa esquerda contra uma vala. A aeronave teve danos substanciais. O tripulante saiu ileso.,PRSTO,S05,AERO AGRICOLA SAO MIGUEL LTDA - ME,SCF-PP,Decolagem,Operação Agrícola,Substancial,,,,,,,,,,,,1.0,,,,,A188B,L1P,C188,1814.0,1.0,CESSNA AIRCRAFT,verdadeiro
27086,202172162,DERCI GOMES DA SILVA,Acidente,2021-02-13,18:40,NOVO PROGRESSO,PA,Norte,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-7,57111","-56,0892",-,A aeronave decolou do aeródromo Novo Progresso (SJNP) Novo Progresso PA por volta das 17h00min (UTC) a fim de realizar voo privado com um piloto e três passageiros a bordo. Após 15min de voo ocorreu uma falha no motor e a aeronave efetuou um pouso de emergência na área da Fazenda Beira Rio localizada no município de Novo Progresso PA. A aeronave teve danos substanciais. O tripulante teve lesões leves e os três passageiros saíram ilesos.,PTKQE,TPP,DERCI GOMES DA SILVA,SCF-PP,Cruzeiro,Voo Privado,Substancial,,SJNP,,,,,,,1.0,,,,3.0,,,,A36,L1P,BE36,1633.0,6.0,BEECH AIRCRAFT,verdadeiro
27085,202107578,SANTO ANGELO AEROAGRICOLA LTDA,Acidente,2021-02-12,16:00,CONCEIÇÃO DAS ALAGOAS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-19,8553","-48,4564",-,A aeronave decolou da pista CEV (Central Elétrica de Veríssimo) para aplicação de defensivo agrícola em uma fazenda.Com cerca de 20 minutos de voo durante uma das aplicações o piloto sentiu uma pequena vibração e saindo da manobra de aplicação escutou um estouro vindo do motor. A aeronave perdeu potência e começou uma forte vibração.O piloto alijou a carga e realizou um pouso de emergência no canavial de uma fazenda. Ao tocar o solo a aeronave girou e parou no sentido contrário.A aeronave teve danos substanciais.O tripulantes saiu ileso.,PRPPJ,S11,SANTO ANGELO AEROAGRICOLA LTDA,SCF-PP,Manobra,Operação Agrícola,Substancial,,,,,,,,,,,,1.0,,,,,PA-36-375,L1P,PA36,2177.0,1.0,PIPER AIRCRAFT,verdadeiro
27123,202167613,LUSA AVIACAO AGRICOLA LTDA - ME,Incidente Grave,2021-02-16,15:30,SÃO LOURENÇO DO SUL,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-31,1315","-51,973",-,A AERONAVE DECOLOU DA ÁREA DE POUSO PARA USO AEROAGRÍCOLA GRANJA BARRANCOS NO MUNICÍPIO DE SÃO LOURENÇO DO SUL RS POR VOLTA DAS 13H30MIN (UTC) A FIM DE REALIZAR PULVERIZAÇÃO COM UM PILOTO A BORDO. DURANTE A QUARTA SAÍDA APÓS FINALIZAR A APLICAÇÃO NA ÁREA E INICIAR O RETORNO À ÁREA DE POUSO HOUVE PERDA DE POTÊNCIA E APAGAMENTO DO MOTOR EM VOO. FOI REALIZADO POUSO FORÇADO. A AERONAVE TEVE DANOS LEVES. O TRIPULANTE SAIU ILESO.,PRPAR,T11,LUSA AVIACAO AGRICOLA LTDA - ME,SCF-PP,Voo a baixa altura,Operação Agrícola,Leve,,,,,,,,,,,,1.0,,,,,A188B,L1P,C188,1905.0,1.0,CESSNA AIRCRAFT,verdadeiro
25924,202048543,ANTONIO CEOLIN,Acidente,2020-10-16,14:30:00,URUGUAIANA,RS,Sul,PERDA DE CONTROLE NO SOLO,Fora de Aeródromo,"-29,9664","-57,0433",-,A aeronave decolaria da Área de Pouso para Uso Aeroagrícola Granja Santa Lourdes município de Uruguaiana RS por volta das 14h30min (UTC) a fim de realizar voo local de pulverização com um tripulante a bordo.Durante a corrida de decolagem o piloto avistou a incursão de animais na pista e abortou a decolagem contudo houve a saída da pista pela lateral esquerda.A aeronave teve danos substanciais.O tripulante saiu ileso.,PRWGC,TPP,ANTONIO CEOLIN,LOC-G,Decolagem,Operação Agrícola,Substancial,,,,,,,,,,,,1.0,,,,,AT-502B,L1T,AT5T,3629.0,1.0,AIR TRACTOR,verdadeiro
25923,202008607,CARLOS ALBERTO MENDES VASCONCELOS,Incidente Grave,2020-10-30,15:45,CAUCAIA,CE,Nordeste,COMBUSTÍVEL,Fora de Aeródromo,"-3,62917","-38,7203",-,A aeronave decolou do Aeródromo Público de Sobral (SNOB) Sobral CE com destino ao Aeródromo Catuleve (SJCM) Aquiraz CE por volta das 14h00min (UTC) a fim de realizar um voo privado com um piloto e um passageiro a bordo. Ao sobrevoar a Praia do Cumbuco o piloto observou uma indicação de baixo nível de combustível na aeronave optando por realizar um pouso de precaução na referida praia. O pouso foi realizado sem intercorrências. A aeronave não teve danos. Todos a bordo saíram ilesos. Não houve danos a terceiros.,PULFI,PET,CARLOS ALBERTO MENDES VASCONCELOS,FUEL,Cruzeiro,Voo Privado,Nenhum,SJCM,SNOB,,,,,,,,,,1.0,1.0,,,,VIMANA R-12,L1P,ULAC,520.0,2.0,,verdadeiro
26203,202079759,ESCOLA DE AVIAÇÃO CIVIL ASAS ROTATIVAS LTDA,Acidente,2020-12-02,16:35,QUATRO BARRAS,PR,Sul,INDETERMINADO,Fora de Aeródromo,"-25,3869","-49,0036",-,A aeronave decolou do aeródromo Piraquara (SISY) município de Piraquara PR às 16h15min (UTC) a fim de realizar um voo local de instrução com um instrutor e um aluno a bordo. Após 20 minutos de voo a aeronave apresentou uma queda brusca na rpm seguida de apagamento do motor. O instrutor realizou autorrotação e pouso de emergência em superfície irregular nas proximidades de um terreno montanhoso. A aeronave teve danos substanciais. Os tripulantes saíram ilesos.,PPJRL,PRI,ESCOLA DE AVIAÇÃO CIVIL ASAS ROTATIVAS LTDA,UNK,Cruzeiro,Voo de Instrução,Substancial,SISY,SISY,,,,,,,,,,2.0,,,,,R22 BETA,H1P,R22,621.0,2.0,ROBINSON HELICOPTER,verdadeiro
25426,202089295,TOCANTINS AVIAÇÃO AGRÍCOLA LTDA - EPP,Acidente,2020-09-29,19:15,SANTA TEREZINHA,MT,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,Fora de Aeródromo,"-10,4225","-50,7967",-,A aeronave decolou de área de pouso para uso aeroagrícola localizada na Fazenda Urupiranga Santa Terezinha MT por volta das 19 horas (UTC) a fim de realizar voo local de vistoria em uma área adjacente com um piloto a bordo. Durante o voo aproximadamente 15 minutos após a decolagem houve a falha do motor da aeronave. Foi realizado pouso de emergência em área de mata no topo de uma serra. A aeronave teve danos substanciais. O piloto saiu ileso.,PTUGP,S05,TOCANTINS AVIAÇÃO AGRÍCOLA LTDA - EPP,LALT,Manobra,Operação Agrícola,Substancial,,,,,,,,,,,,1.0,,,,,EMB-201A,L1P,IPAN,1800.0,1.0,NEIVA,verdadeiro
26144,202012724,JOSÉ ADILSON DE JESUS NEVES,Acidente,2020-11-14,14:20,SÃO PEDRO,SP,Sudeste,INDETERMINADO,Fora de Aeródromo,"-22,6279","-47,8343",-,A AERONAVE FOI ENCONTRADA ACIDENTADA FORA DE AERÓDROMO NA CHÁCARA PRIMAVERA ZONA RURAL DE SÃO PEDRO INTERIOR DE SÃO PAULO COM ENTORPECENTES A BORDO. A AERONAVE FICOU DESTRUÍDA. O PILOTO SOFREU LESÕES FATAIS.,PTOOQ,TPP,JOSÉ ADILSON DE JESUS NEVES,UNK,Indeterminada,Voo Privado,Destruída,,,1.0,,,,,,,,,,,,,,95-B55,L2P,BE55,2318.0,6.0,BEECH AIRCRAFT,falso
26147,202054648,ATAIDES DE OLIVEIRA,Incidente Grave,2020-11-24,20:00,PORTO NACIONAL,TO,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SWEJ,"-10,1828","-48,5458",Privado,A aeronave decolou do aeródromo Associação Tocantinense de Aviação (SWEJ) Porto Nacional TO a fim de realizar voo local privado com um piloto e dois passageiros a bordo. Durante o pouso o trem de pouso da aeronave recolheu. A aeronave teve danos leves. O piloto e os dois passageiros saíram ilesos.,PTOVA,TPP,ATAIDES DE OLIVEIRA,SCF-NP,Pouso,Voo Privado,Leve,SWEJ,SWEJ,,,,,,,,,,1.0,2.0,,,,EMB-810C,L2P,PA34,2073.0,6.0,EMBRAER,verdadeiro
26345,202066158,RONDON AVIACAO AGRICOLA LTDA,Acidente,2020-12-12,18:00,RIO BRILHANTE ,MS,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-21,7528","-54,7897",-,A aeronave decolou da área de pouso para uso aeroagrícola (APUA) denominada Cabeceira do Alegrete pertencente à usina BIOSEV Rio Brilhante MS a fim de realizar voo de aplicação de defensivos com apenas um piloto a bordo. Por volta das 18h00min (UTC) durante a aplicação o piloto relatou que houve um barulho no motor seguido de perda de potência. O piloto efetuou um pouso de emergência na plantação e abandonou a aeronave após a parada total. A aeronave teve danos substanciais. O tripulante saiu ileso.,PTUON,S05,RONDON AVIACAO AGRICOLA LTDA,SCF-PP,Manobra,Operação Agrícola,Substancial,****,****,,,,,,,,,,,1.0,,,,EMB-202,L1P,IPAN,1800.0,1.0,NEIVA,verdadeiro
26346,202003370,G-10 AVIAÇÃO AGRICOLA E MANUTENÇÃO DE AERONAVES LTOA,Acidente,2020-12-08,17:00,,MT,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,Fora de Aeródromo,"-11,3831","-52,495",-,A aeronave decolou da área para uso aeroagrícola (APUA) da Fazenda Três Rodas Município de Joatão - MS por volta das 13h00min (UTC) a fim de realizar voo de aplicação de defensivos agrícolas com somente um piloto a bordo. Durante uma das passagens baixas houve a colisão com o terreno. A aeronave teve danos substanciais. O tripulante teve lesões leves.,PRABF,S05,G-10 AVIAÇÃO AGRICOLA E MANUTENÇÃO DE AERONAVES LTOA,LALT,Manobra,Operação Agrícola,Substancial,****,****,,,,,,,1.0,,,,,,,,PA-25-235,L1P,PA25,1315.0,1.0,PIPER AIRCRAFT,verdadeiro
26623,202100080,EVERTON LUIS ROSSIN,Incidente Grave,2021-01-10,13:00,CONCÓRDIA,SC,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SSCK,"-27,1842","-52,045",Público,A aeronave decolou do Aeródromo Olavo Cecco Rigon (SSCK) município de Concórdia SC a fim de realizar testes na aeronave com um piloto a bordo.Durante a entrada na perna do vento para a pista 33 de SSCK houve uma falha no motor e o piloto optou por realizar o pouso em um campo não preparado próximo à pista de pouso.A aeronave teve danos leves.O piloto não sofreu lesões.,PUZUM,PET,EVERTON LUIS ROSSIN,SCF-PP,Circuto de Tráfego,Voo Privado,Leve,SSCK,SSCK,,,,,,,,,,1.0,,,,,RV-4,,,680.0,,Van's Aircraft,verdadeiro
26308,202085427,MARCELO GONCALVES DE QUEIROZ,Incidente Grave,2020-12-13,13:41,BELO HORIZONTE,MG,Sudeste,EXCURSÃO DE PISTA,SBPR,"-19,9092","-43,9892",Público,A aeronave decolou do Aeródromo de Patrocínio MG (SNPJ) com destino ao Aeródromo de Carlos Prates MG (SBPR) a fim de realizar um voo privado com 1 piloto e 2 passageiros a bordo. Após o pouso ao pressionar o pedal do freio o piloto verificou que este não operava corretamente. A aeronave perdeu o eixo lateral direito da pista e saiu pela área gramada. Na sequência a aeronave foi removida e empurrada até o pátio. A aeronave não teve danos e o piloto e passageiros não sofreram lesões.,PTJKV,TPP,MARCELO GONCALVES DE QUEIROZ,RE,Corrida após pouso,Voo Privado,Nenhum,SBPR,SNPJ,,,,,,,,,,1.0,2.0,,,,210L,L1P,C210,1724.0,6.0,CESSNA AIRCRAFT,verdadeiro
26666,202107410,JOSE ROBERTO COSTA BUHLER,Incidente Grave,2021-01-14,20:00,CAMPO GRANDE,MS,Centro-Oeste,CONTATO ANORMAL COM A PISTA,SSIE,"-20,6037","-54,5951",Público,A aeronave decolou de local desconhecido com destino ao Aeródromo Teruel Ipanema Estância (SSIE) Campo Grande MS com um piloto e um passageiros a bordo. Durante o procedimento de pouso não foi efetuado o baixamento do trem de pouso. A aeronave teve sua parada total ainda dentro dos limites da pista. A aeronave teve danos leves na fuselagem e hélice. O tripulante e o passageiro saíram ilesos.,PTWQZ,TPP,JOSE ROBERTO COSTA BUHLER,ARC,Pouso,Voo Privado,Leve,SSIE,,,,,,,,,,,1.0,1.0,,,,V35B,L1P,BE35,1542.0,6.0,BEECH AIRCRAFT,verdadeiro
